1432,48942313973
2,78044519895947
0,0050598456439294
25,7572753863176
11,4155642195778
13,6743548622093
27,7961101346825
22,0139968240215
15,8758567227139
11,205393181941
9,65749162230282
11,6126241130128
10,2318371274834
0,000388446432048148
9,35641527896161
26,3572796498831
1,50230910327732
2,04636092314044
6,13933134533136
0,210473316549631
0,949602300369873
3,87346579170598
1,19747556637427
4,50439126645061
1,14882844316008
3,15248366144499
17,3725372297758
2,61256674182719
0,642002294856882
0,345016786659921
0,538594777718075
0,631322149592983
2,24494373894555
0,0866894167820988
9,49059321126929
2,65781467900838
15,8802779116868
4,06011018368563
5,80107670321539
4,39432270239613
25,4942295102591
2,67544994265659
3,99534801336968
26,2037486513924
3,13503405158302
0,298344721955872
25,3730454251155
53,6948271093502
3,00629222832014
26,105774599744
21,6293025870797
39,6458331319766
20,5955634138315
23,8030655821092
61,2806156696233
29,5301209263328
67,0876828836923
58,5685725118342
1,40681001663184
76,7349345089925
7,12454025176341
61,4861749782846
205,127547499017
40,3206693868941
107,941977345411
342,465237280398
185,38583241246
117,300056197311
450,229719201649
552,709759273107
0,0942886880334051
410,05594182413
896,694810078659
227,379641905248
102,621810313944
830,286621161368
716,991742778579
16,3958190371307
683,365436449563
1334,19193286131
705,76736961506
136,505442441078
1382,78868591568
1373,91784818779
14,2853915137971
1223,68221032948
1903,695412593
849,315769735864
314,179921370199
1784,17966359048
1376,08662335135
17,7909197173769
1457,14363711775
1710,48959728228
816,816902358472
641,645562170113
1696,95498100467
1401,53092557838
53,7154216674381
1422,06499568939
1363,90341750443
363,964508224812
550,091354724751
1429,13688043263
827,652691196262
29,9109111025451
798,987727961201
750,367917740407
433,540647040463
294,089097399963
486,944792000257
420,739710350482
0,47352220891601
161,13174080235
550,927578536506
150,917773730947
203,602539098512
621,566169527426
369,230949045965
136,632193933143
1064,16585946101
832,976927920333
124,8835748979
983,277579118338
985,262157060742
264,480437813725
857,325901902914
1727,89763994751
1343,99566671528
504,63243454187
2023,45833664594
1981,85413568701
53,4999195994563
1684,11679836492
2661,15092647682
1510,01659839567
679,958686531441
2716,39899077644
2650,97907926075
401,128890367134
2205,28981750359
2870,72155443049
2093,89401885159
805,216073855634
2550,20263986045
2422,31454518191
300,539125206665
1630,51361380378
2140,03584991107
823,80794985016
350,631501627507
1541,71798999534
822,533152780978
231,468934738654
554,464922249007
249,129111650502
761,647435302992
540,302908228167
12,4057788371096
907,244811976854
1447,65060241153
1129,7252490601
380,951577679607
2063,42022315947
2834,14647642682
616,750182542018
1855,73976464751
3027,78516410098
2213,21692497841
41,4528940101106
2320,19643678512
2401,12984069537
1442,83690348555
1611,08764011979
1673,23826372247
2358,34453575614
37,3746625909472
356,199066755086
3357,31663703564
3219,90423767756
728,476310811869
2214,5638718123
2850,52262185966
1138,18843579196
863,392145888729
2772,705680801
2551,51465782293
256,141725993861
2167,02047885122
3153,14355945736
2753,71503032754
0,660243917862221
2514,78569691471
3230,68073430436
2297,88793998319
218,770943839823
2597,89981302104
3511,43964082086
2585,33129016658
107,330065836243
3119,02380027085
